,Lender,LoanAmount,Loans
665,Fountainhead SBF LLC,74014.30644578314,166
666,Four Corners Community Bank,95200.0,2
667,Franklin Bank & Trust Company,20800.0,1
668,Franklin Synergy Bank,20833.0,1
669,Frazer Bank,13266.666666666666,3
670,Freedom Bank,37696.776,20
671,Fresno First Bank,43035.0,1
672,Frontier Bank,19161.864999999998,2
673,Frontier Bank of Texas,37818.96765690377,239
674,Frontier State Bank,57433.333333333336,3
675,Frontwave CU,1408.0,1
676,Frost Bank,43183.86016864727,14053
677,Fulda Area CU,15000.0,1
678,"Fulton Bank, National Association",54980.0,1
679,"Fund-Ex Solutions Group, LLC",56979.010833333334,72
680,"Fundbox, Inc.",19191.94208563538,724
681,GBC International Bank,5215.0,1
682,GECU,22174.492732166862,743
683,"GNBank, National Association",102700.0,1
684,Gate City Bank,12874.75,4
685,Gateway First Bank,28747.535714285714,7
686,Generations Bank,13284.524285714286,7
687,Generations Community FCU,18024.20153846154,65
688,Georgia Banking Company,28471.0,2
689,Georgia's Own CU,49708.55,1
690,Gibsland Bank & Trust Company,48925.0,8
691,Glacier Bank,44740.718846153846,26
692,Glens Falls National Bank and Trust Company,39300.0,1
693,Glenwood State Bank Incorporated,44400.0,1
694,Go FCU,20117.51851851852,27
695,Gold Coast Bank,15600.0,1
696,"Golden Bank, National Association",37341.56072790296,577
697,"Golden Belt Bank, FSA",20800.0,1
698,Golden Valley Bank,84680.0,1
699,Goldenwest FCU,24201.25,4
700,Gorham Savings Bank,52200.0,2
701,"Graham Savings & Loan, SSB",34034.077142857146,14
702,Grand Bank,61991.892222222225,18
703,Grand Savings Bank,27200.0,3
704,Grandview Bank,31206.581589958158,239
705,Grant County Bank,8793.75,2
706,Grant County State Bank,94324.0,3
707,"Grasshopper Bank, National Association",101170.97,1
708,Great American Bank,31700.0,1
709,Great Nations Bank,14342.25,4
710,Great Plains National Bank,43562.29918032787,122
711,Great Southern Bank,38777.601500000004,20
712,Great Western Bank,59226.90700000001,10
713,Greater Nevada CU,31807.035586592196,179
714,Greater State Bank,38084.049848484865,198
715,Grinnell State Bank,20833.32,1
716,"Grow America Fund, Incorporated",24296.99375,8
717,Guadalupe Bank,38741.18965517241,174
718,Guaranty Bank,35000.0,4
719,Guaranty Bank & Trust Company,20412.5,8
720,"Guaranty Bank & Trust Company of Delhi, Louisiana",43443.95,1
721,"Guaranty Bank & Trust, National Association",41094.20223776224,1573
722,Gulf Capital Bank,59254.551926605505,109
723,Gulf Coast Bank,32013.222173913044,23
724,Gulf Coast Bank and Trust Company,52815.38461538462,65
725,HOMEBANK,88344.97,1
726,"HSBC Bank USA, National Association",69511.25,16
727,"Hana Small Business Lending, Inc.",39061.53846153846,13
728,Hancock Whitney Bank,47539.88727659574,470
729,Hanmi Bank,31777.297477203643,329
730,Happy State Bank,33114.17704794262,2649
731,HarborOne Bank,9600.0,1
732,"Harvest Small Business Finance, LLC",55336.15101265822,158
733,Haskell National Bank,20898.98245614035,57
734,Hawthorn Bank,9950.0,2
735,Heart of Louisiana FCU,5920.0,1
736,Heartland Bank,11256.666666666666,3
737,Heartland Bank and Trust Company,81900.0,2
738,Heartland CU,14150.0,2
739,Heartland State Bank,6231.25,1
740,Henderson Federal Savings Bank,37886.260869565216,23
741,"Heritage Bank, A Division of",24100.0,1
742,"Heritage Bank, National Association",21164.09,11
743,Heritage FCU,1200.0,1
744,Herring Bank,37241.4493,300
745,Hiawatha National Bank,21175.0,4
746,Hickory Point Bank and Trust,99494.4,5
747,High Plains Bank,47181.62947368421,19
748,Highmark FCU,6375.0,2
749,Hilltop National Bank,19297.5,2
750,"Hinsdale Bank & Trust Company, National Association",75847.5,1
751,"Home Bank, National Association",36540.0,5
752,Home Federal Bank,15000.0,1
753,"Home Loan Investment Bank, F.S.B.",16245.0,1
754,Home Loan State Bank,68700.0,1
755,HomeBank Texas,36861.2596969697,165
756,HomeStreet Bank,73972.72727272728,11
757,HomeTrust Bank,67772.5,4
758,Homeland Federal Savings Bank,9487.4,2
759,"Hometown Bank, National Association",37252.316602316605,518
760,Hope Enterprise Corporation,19250.748360655736,122
761,"Horizon Bank, SSB",50279.63516746411,836
762,Horizon Community Bank,19350.0,2
763,Houston FCU,23495.915781249998,128
764,IBERIABANK,39402.61041666658,408
765,"INB, National Association",20833.32,2
766,"INTRUST Bank, National Association",33141.46666666667,135
767,IQ CU,27200.0,1
768,Idaho Central CU,26250.0,2
769,Idaho First Bank,40283.92696202532,158
770,InBank,28558.5,2
771,InTouch CU,20917.89153846154,39
772,"Incommons Bank, National Association",21362.611704545452,264
773,IncredibleBank,53028.57142857143,21
774,Independence Bank,103369.5,2
775,Independent Bank,44068.63066753926,3056
776,Industry State Bank,34077.77777777778,81
777,Insbank,37540.0,5
778,Inspire FCU,34242.0,1
779,Integrity Bank & Trust,4125.0,1
780,InterBank,32035.51975763962,949
781,International Bank of Chicago,44338.41,2
782,International Bank of Commerce,33016.29211131924,3737
783,International City Bank,20835.0,1
784,Interstate Bank,33475.53191489362,94
785,Intuit Financing Inc.,28200.500679347828,1472
786,"Investar Bank, National Association",33826.0417679558,181
787,Investors Community Bank,13400.0,1
788,Inwood National Bank,46626.40908980583,824
789,Iowa Falls State Bank,120431.975,2
790,"Iowa State Bank and Trust Company of Fairfield, Iowa",13130.0,1
791,Israel Discount Bank of New York,47980.0,2
792,Itria Ventures LLC,20930.16393442623,122
793,JD Bank,24305.583333333332,6
794,"JPMorgan Chase Bank, National Association",36718.406429620714,26537
795,James Polk Stone Community Bank,70666.66666666667,3
796,Jefferson Bank,48003.39384116694,617
797,Jefferson Bank of Missouri,27700.0,5
798,Johnson Bank,30800.0,2
799,Johnson City Bank,28538.013953488375,43
800,Johnson State Bank,7795.0,1
801,Jonah Bank of Wyoming,132500.0,1
802,Jonesboro State Bank,3820.2,1
803,Jovia Financial FCU,16000.0,1
804,Junction National Bank,27211.958333333332,60
805,"KEB Hana Bank USA, National Association",10514.17,1
806,KS StateBank,75022.22222222222,9
807,"Kabbage, Inc.",15029.57527628886,10261
808,Kanza Bank,41832.5,2
809,Kaw Valley State Bank and Trust Company,31250.0,1
810,Kearny Bank,99120.27333333333,3
811,Kendall State Bank,83966.66666666667,3
812,Kennebec Savings Bank,12200.0,1
813,Kensington Bank,52246.75,4
814,Key Community Bank,36654.0,2
815,KeyBank National Association,56363.76470588235,34
816,"Keystone Bank, National Association",34350.3715203426,467
817,Kinecta FCU,8228.5,2
818,Kirkpatrick Bank,68712.18999999999,6
819,Kish Bank,35872.0,5
820,"Kleberg Bank, National Association",40423.848978978975,333
821,Kress National Bank,21631.988666666664,30
822,LCA Bank Corporation,34880.16849056604,53
823,Lake City Bank,37085.71428571428,7
824,"Lake Forest Bank & Trust Company, National Association",63866.666666666664,12
825,Lake Michigan CU,25400.0,1
826,Lakeside Bank,39721.06014851486,202
827,Lamar Bank and Trust Company,14988.0,1
828,Lamar National Bank,37064.670634920636,252
829,Landmark National Bank,15800.0,3
830,Las Colinas FCU,34729.24906976744,43
831,Lea County State Bank,14907.57142857143,7
832,Lead Bank,8270.0,1
833,"Leader Bank, National Association",55733.333333333336,3
834,Ledyard National Bank,8600.0,1
835,Legacy Bank,31319.86418604651,86
836,Legacy National Bank,41250.0,2
837,Legence Bank,73433.33333333333,3
838,"Legend Bank, National Association",31971.408988764044,445
839,Level One Bank,50150.0,2
840,Lewis & Clark Bank,30950.0,1
841,Lexicon Bank,4705.0,1
842,Liberty Bank and Trust Company,38700.87046511629,43
843,Liberty Capital Bank,43765.10761904767,168
844,Liberty National Bank,50596.717333333334,15
845,Life FCU,16684.28947368421,38
846,"LiftFund, Inc.",21417.457344173443,738
847,Lincoln Savings Bank,137852.5,1
848,LinkBank,41689.2,5
849,Live Oak Banking Company,49644.93243243243,592
850,Llano National Bank,25878.015454545457,44
851,Loan Source Incorporated,27611.249166666665,12
852,Lone Star Bank,38398.11320754717,53
853,"Lone Star Capital Bank, National Association",43424.78125,112
854,Lone Star National Bank,29767.49673811743,2146
855,Lone Star State Bank of West Texas,41132.94579945799,369
856,Loyal Trust Bank,22847.25,8
857,M C Bank & Trust Co.,23966.666666666668,12
858,MBE Capital Partners,21805.59836065574,976
859,MCBank,28819.161616161615,198
860,"MUFG Union Bank, National Association",53029.4,5
861,"MVB Bank, Inc.",81362.0,1
862,Mabrey Bank,16696.916666666668,12
863,Machias Savings Bank,3085.6666666666665,3
864,Madison Valley Bank,47730.75,4
865,Main Bank,102746.785,2
866,Main Street Bank,84800.0,2
867,Maine Savings FCU,13900.0,1
868,Malvern Bank,34300.0,1
869,"Malvern Bank, National Association",1570.2,1
870,Manufacturers Bank & Trust Company,86600.0,1
871,Manufacturers and Traders Trust Company,40644.5,8
872,"Maple City Savings Bank, FSB",24460.0,1
873,MapleMark Bank,34799.83526315788,19
874,Marine Bank,77050.0,2
875,Marine Bank & Trust Company,13570.0,1
876,Marion County State Bank,16666.0,1
877,Marion State Bank,42558.76,1
878,Marlin Business Bank,56145.03142857143,7
879,Marquette Savings Bank,53140.0,1
880,Mason Bank,31497.06855263159,76
881,McCurtain County National Bank,27300.0,2
882,Meadows Bank,80015.38461538461,13
883,Mechanics Bank,53351.0,7
884,Mega Bank,25374.0,1
885,Members Trust of the Southwest FCU,29103.41379310345,58
886,Mercantile Bank of Michigan,69187.0,1
887,Merchants & Farmers Bank & Trust Company,71251.0,1
888,Merchants & Marine Bank,20750.0,1
889,Merchants & Planters Bank,5700.0,1
890,Merchants Bank of Indiana,57750.0,2
891,"Merchants Bank, National Association",81000.0,2
892,Merchants and Farmers Bank,32403.748,5
893,Meridian Bank,26883.333333333332,6
894,Meritrust FCU,16666.666666666668,3
895,Mesquite CU,25944.66349514563,103
896,"MetaBank, National Association",40724.64323529412,34
897,Metairie Bank & Trust Company,37200.0,1
898,Metro City Bank,45089.767441860466,172
899,Metropolitan Commercial Bank,54700.0,1
900,Mi Bank,18587.57,1
901,Michigan State University FCU,17050.0,4
902,Mid America Bank,46466.666666666664,3
903,Mid Penn Bank,66725.0,16
904,MidAmerica National Bank,28060.0,1
905,MidCountry Bank,119600.0,1
906,MidFirst Bank,42881.395348837206,86
907,MidWestOne Bank,30700.0,3
908,Midflorida CU,36877.0,1
909,Midland States Bank,59815.0,3
910,"Midstates Bank, National Association",20832.0,1
911,Midwest Bank,39066.0,2
912,Midwest BankCentre,14422.555555555555,9
913,Midwest Community Bank,18085.0,1
914,Midwest Regional Bank,40405.94059405941,202
915,Millennium Bank,104025.0,4
916,"Mineola Community Bank, S.S.B.",23033.354059405934,101
917,Minnesota Bank & Trust,57550.0,2
918,Minnesota Lakes Bank,141500.0,1
919,Minnwest Bank,9900.0,1
920,Mission Valley Bank,106250.0,2
921,Mississippi FCU,5984.0,1
922,Montecito Bank & Trust,13410.333333333334,3
923,Montgomery Bank,23450.0,2
924,Moody National Bank,41965.37181996086,511
925,Morton Community Bank,20533.333333333332,3
926,Mountain America FCU,22400.0,17
927,Mountain Valley Bank,20800.0,1
928,Muenster State Bank,32447.266666666666,120
929,Municipal Trust and Savings Bank,48325.0,1
930,MutualOne Bank,71102.0,1
931,NBC Oklahoma,30625.0,4
932,NBKC Bank,17581.81818181818,11
933,NCMIC Finance Corporation,12158.0,18
934,National Bank & Trust,33134.36022727273,88
935,National Bank of Commerce,71900.0,1
936,"National Cooperative Bank, National Association",83354.0,4
937,National United,31784.340659340658,364
938,Navy Army Community CU,19963.378238341968,386
939,Navy FCU,15445.482673267326,404
940,Nebraska Bank of Commerce,15500.0,1
941,Neighborhood National Bank,23500.0,1
942,Neighbors FCU,12166.666666666666,3
943,New Carlisle Federal Savings Bank,41445.0,1
944,New Mexico Bank & Trust,57050.0,2
945,New Millennium Bank,46812.333333333336,3
946,New Valley Bank & Trust,50285.0,2
947,NewFirst National Bank,40693.85992636234,679
948,"Newtek Small Business Finance, Inc.",26947.572488199596,1483
949,Newton Federal Bank,66694.0,2
950,Nicolet National Bank,51000.0,1
951,Nizari Progressive FCU,20494.08165991903,247
952,North American Banking Company,113873.37,1
953,North Dallas Bank & Trust Company,40139.00355871886,562
954,"North Shore Bank, A Cooperative Bank",17507.0,1
955,"North Shore Bank, FSB",88935.0,1
956,North Side Federal Savings & Loan Association of Chicago,61177.5,4
957,North Star Community CU,20832.0,1
958,North State Bank,23200.0,1
959,Northeast Bank,37353.910416666666,240
960,Northeast CU,3400.0,1
961,Northern Bank and Trust Company,28300.0,1
962,Northrim Bank,40389.850000000006,2
963,Northview Bank,8700.0,2
964,Northwest Bank,42604.11111111111,9
965,Northwest Bank & Trust Company,101200.0,1
966,Northwest Community CU,3061.25,1
967,Northwest FCU,18018.155111111108,45
968,NoteWorthy FCU,7417.63,5
969,Notre Dame FCU,34355.46666666667,15
970,Nusenda FCU,9884.0,1
971,Oak Valley Community Bank,1510.37,1
972,OakStar Bank,15733.333333333334,3
973,Oakwood Bank,40559.69088235293,102
974,Ocean Bank,5000.0,1
975,Oklahoma Central CU,20607.75,1
976,Oklahoma State Bank,35890.007,10
977,Oklahoma's CU,11980.0,1
978,Old Missouri Bank,37025.0,4
979,Old National Bank,58660.0,10
980,Olean Area FCU,22418.0,1
981,One World Bank,42987.06310861421,267
982,OneSouth Bank,7463.32,1
983,OneUnited Bank,24945.4875,8
984,"OneWest Bank, A Division of",47972.20652173912,23
985,Open Bank,45151.1320754717,53
986,Opportunity Bank of Montana,8000.0,1
987,Opportunity Fund Community Development,14006.235294117647,17
988,OptimumBank,37975.0,1
989,Optus Bank,17194.0,3
990,Origin Bank,41052.34596638655,952
991,Orrstown Bank,9800.0,1
992,Osgood State Bank,62633.333333333336,3
993,Ottawa Savings Bank,5070.2,1
994,Ozark Bank,113400.0,1
995,Ozona National Bank,35996.36705314009,207
996,"PNC Bank, National Association",48661.22448979592,49
997,POINTWEST BANK,22602.449890109903,91
998,Pacific City Bank,41778.04878048781,41
999,Pacific Enterprise Bank,44983.333333333336,6
1000,Pacific Mercantile Bank,63783.333333333336,6
1001,Pacific Premier Bank,66332.40845070423,71
1002,Pacific Western Bank,58162.36,25
1003,Pantex FCU,9154.545454545454,11
1004,Paragon Bank,30183.75,16
1005,Park Ridge Community Bank,24790.0,5
1006,Park State Bank,145820.0,1
1007,Park State Bank & Trust,37670.081666666665,6
1008,Parkside Financial Bank & Trust,36940.525,2
1009,Partners Bank,41088.17,1
1010,Partners Bank of California,38300.0,1
1011,Pathway Bank,14526.05,1
1012,Patterson State Bank,7974.880000000001,2
1013,Pavillion Bank,39972.22222222222,36
1014,Peapack-Gladstone Bank,20900.0,1
1015,Pearland State Bank,44013.5,60
1016,Pelican State CU,21162.333333333332,3
1017,People's Bank of Commerce,6066.666666666667,3
1018,People's Bank of Seneca,26526.11111111111,9
1019,"People's United Bank, National Association",24600.0,1
1020,PeopleFund,18489.532258064515,248
1021,Peoples Bank,32794.4748091603,655
1022,Peoples Bank & Trust,122900.0,1
1023,Peoples Bank and Trust Company,58118.181818181816,22
1024,Peoples Bank of the South,64277.5,1
1025,"Peoples National Bank, National Association",7460.0,5
1026,Peoples State Bank,36400.0,7
1027,Peoples State Bank of Hallettsville,33927.059516129026,124
1028,PeoplesBank,69100.0,1
1029,"PeoplesBank, A Codorus Valley Company",5000.0,1
1030,Phelps County Bank,68652.92,1
1031,Pilgrim Bank,31892.710843373494,249
1032,Pine Island Bank,17125.0,1
1033,Pine River State Bank,5900.0,1
1034,Pinnacle Bank,37387.07514555468,1271
1035,Pinnacle Bank-Wyoming,20700.0,1
1036,Pioneer Bank,52506.24727272727,22
1037,Pioneer Bank & Trust,13125.0,2
1038,"Pioneer Bank, SSB",52453.09027777778,576
1039,Pioneer Mutual FCU,16972.68221574344,343
1040,Plains Commerce Bank,38225.0,4
1041,Plains State Bank,42736.409933333314,450
1042,PlainsCapital Bank,53872.91483888584,1831
1043,Planters Bank & Trust Company,55880.0,5
1044,"Planters Bank, Inc.",1936.0,2
1045,Platinum Bank,22066.0,3
1046,Platte Valley Bank,13927.833636363635,11
1047,Plattsmouth State Bank,109300.0,1
1048,Pointbank,37115.184597938154,485
1049,Pony Express Bank,22545.666666666668,3
1050,Poppy Bank,79500.0,2
1051,Prairie Bank of Kansas,10000.0,1
1052,Prairie Community Bank,19400.0,1
1053,Premier Bank,65900.0,1
1054,Premier Bank of Arkansas,28237.9,2
1055,Premier Members CU,2505.0,1
1056,"Presidential Bank, FSB",19166.25,3
1057,"Prestamos CDFI, LLC",12422.333333333334,21
1058,Prime Bank,41275.0,4
1059,Prime Meridian Bank,13700.0,1
1060,PrimeWay FCU,35031.57894736842,114
1061,Princeville State Bank,7577.0,1
1062,Production Credit Association of Southern New Mexi,22726.0,2
1063,Professional Bank,6500.0,1
1064,Progress Bank and Trust,36596.92857142857,7
1065,Progressive Bank,31078.79142857143,7
1066,Progressive National Bank,7721.475,2
1067,PromiseOne Bank,27421.69135802469,81
1068,Prosperity Bank,39216.99531823548,9317
1069,Providence Bank,43022.5,86
1070,Providence Bank & Trust,4502.845,2
1071,"Providence Bank of Texas, SSB",39327.02697674419,86
1072,"Provident State Bank, Inc.",10462.0,1
1073,"Quail Creek Bank, National Association",32197.4,1
1074,Queensborough National Bank and Trust Company,22475.0,4
1075,R Bank,44571.51810584958,359
1076,RCB Bank,70099.12759999999,25
1077,Raccoon Valley Bank,141200.0,1
1078,Radius Bank,38153.59920634921,252
1079,Randolph-Brooks FCU,30915.882,60
1080,Rayne State Bank & Trust Company,57050.0,2
1081,"Raza Development Fund, Inc.",33750.0,1
1082,"Readycap Lending, LLC",31056.929411764704,2805
1083,Red Crown FCU,24600.0,1
1084,Red River Bank,39800.0,1
1085,Red River Empl FCU,20791.310218978102,274
1086,Redwood CU,20800.0,1
1087,Redwood Capital Bank,20800.0,1
1088,Regent Bank,16521.0,100
1089,Regions Bank,34732.266927144534,1702
1090,Reliance Savings Bank d/b/a Reliance Bank,136134.0,1
1091,Reliant Bank,17600.0,1
1092,"Relyance Bank, National Association",38033.333333333336,3
1093,Renasant Bank,55166.666666666664,15
1094,Republic Bank & Trust Company,51777.77777777778,9
1095,Republic Bank of Chicago,47949.5,4
1096,Republic First Bank d/b/a Republic Bank,142500.0,1
1097,"Resource Bank, National Association",4800.0,1
1098,Resource One CU,19830.640939597317,298
1099,Richfield-Bloomington CU,11300.0,1
1100,Rio Bank,33284.666666666664,534
1101,Rio Grande Savings & Loan Association,16076.7,1
1102,River Bank & Trust,130200.0,1
1103,River City Bank,73464.0,1
1104,River City FCU,21702.04234604106,341
1105,RiverHills Bank,11800.0,1
1106,Riverland Bank,147400.0,1
1107,Riverview Bank,99451.664,15
1108,Robertson Banking Company,59500.0,1
1109,Rockland Trust Company,17016.0,5
1110,Round Top State Bank,42543.775132275136,189
1111,Royal Business Bank,41266.666666666664,3
1112,Rural Community Assistance Corporation,22177.059999999998,4
1113,S & T Bank,90315.0,1
1114,SAFE CU,20833.0,1
1115,SJN Bank of Kansas,20833.32,1
1116,"SNB Bank, National Association",38937.5,16
1117,SSB Bank,11750.0,1
1118,Sabine State Bank & Trust Company,45807.75628571428,35
1119,Sage Capital Bank,32222.301169590643,342
1120,Sandhills State Bank,54966.666666666664,6
1121,Sandia Laboratory FCU,11556.355,4
1122,Sandy Spring Bank,3443.0,1
1123,Sanger Bank,22259.95510638298,47
1124,Sanibel Captiva Community Bank,18433.333333333332,3
1125,Santa Cruz County Bank,57708.735,4
1126,"Santander Bank, National Association",74912.5,2
1127,SaviBank,18000.0,1
1128,Savoy Bank,86310.64,3
1129,Schertz Bank & Trust,46492.72727272727,176
1130,Scott State Bank,9165.0,1
1131,Seacoast Commerce Bank,47834.545454545456,55
1132,Seacoast National Bank,38695.666666666664,6
1133,Seaside National Bank & Trust,33025.0,1
1134,Seattle Bank,78001.5,4
1135,Security Bank,16667.5,4
1136,Security Bank and Trust Company,16533.333333333332,3
1137,Security Bank of Crawford,42157.92307692308,39
1138,Security Bank of Pulaski County,10580.701666666668,6
1139,Security Federal Bank,18480.0,1
1140,Security Financial Bank,69300.0,1
1141,Security First Bank,14227.5,1
1142,Security First National Bank of Hugo,23430.464444444442,9
1143,Security National Bank of Omaha,43413.8,125
1144,Security Service FCU,22018.87088295689,974
1145,Security State Bank,35134.91051612906,155
1146,Security State Bank & Trust,35979.801530054654,732
1147,Security State Bank of Oklahoma,24350.0,2
1148,Select Bank,15000.0,1
1149,Select Bank & Trust Company,24200.0,1
1150,Self-Help FCU,17374.5,6
1151,Sentry Bank,133600.0,1
1152,ServisFirst Bank,38957.142857142855,7
1153,Settlers Bank,6000.0,1
1154,"Shamrock Bank, National Association",37850.0,2
1155,"Shelby Savings Bank, SSB",37265.98484848485,132
1156,Shinhan Bank America,25336.41975308642,162
1157,Shoreline CU,27307.1,1
1158,Signature Bank,70258.5,8
1159,Signature Bank of Arkansas,52910.0,1
1160,Silicon Valley Bank,56005.463797468365,79
1161,Silver Lake Bank,21660.0,5
1162,Simmons Bank,46423.149606299216,762
1163,Small Business Bank,18372.779393939392,33
1164,Solera National Bank,25022.00333333333,9
1165,Solutions North Bank,98900.0,1
1166,Sonabank,40870.693766233766,77
1167,"South Central Bank, Inc.",20192.0,2
1168,South Louisiana Bank,50180.0,5
1169,South Porte Bank,42395.0,3
1170,"South State Bank, National Association",63393.471999999994,5
1171,SouthPoint Bank,27144.978333333333,6
1172,"SouthStar Bank, S.S.B.",36252.111972386585,507
1173,"SouthTrust Bank, National Association",32107.911318897633,508
1174,SouthWest Bank,47057.94483568075,426
1175,Southern Bancorp Bank,138066.66666666666,3
1176,Southern Bank,60816.666666666664,12
1177,Southern Bank and Trust Company,31200.0,1
1178,Southern Heritage Bank,115804.6,1
1179,Southside Bank,39997.979014836805,1685
1180,Southwest Capital Bank,66596.34,6
1181,Southwest Heritage CU,41627.599074074074,54
1182,Southwest National Bank,17250.0,1
1183,Southwestern National Bank,28394.745484400657,609
1184,Spectra Bank,33710.283333333326,102
1185,"Spirit of Texas Bank, SSB",42979.72571367154,2326
1186,SpiritBank,40706.0,5
1187,Spring Hill State Bank,33475.83895833334,96
1188,Springfield State Bank,10283.67,1
1189,Spur Security Bank,23773.35714285714,14
1190,St. Landry Homestead Federal Savings Bank,39854.442500000005,4
1191,St. Louis Bank,45950.0,6
1192,Star Tech FCU,13227.0,1
1193,Star of Texas CU,44717.0,1
1194,Starion Bank,8100.0,1
1195,State Bank & Trust,20833.0,1
1196,State Bank Northwest,79450.0,2
1197,State Bank of De Kalb,32716.340714285718,182
1198,State Bank of Southern Utah,54300.0,4
1199,State Bank of Texas,27032.52467889908,218
1200,State Savings Bank,4878.32,1
1201,State Street Bank and Trust Company,33025.0,1
1202,Stearns Bank National Association,47765.898342857145,175
1203,Sterling Bank,77866.66666666667,6
1204,Sterling National Bank,21900.0,2
1205,Stock Yards Bank & Trust Company,41600.0,1
1206,Stockman Bank of Montana,19350.0,2
1207,Stockmans Bank,35422.0,49
1208,Stockmens Bank,8752.25,2
1209,Stone Bank,42827.0,3
1210,"Stride Bank, National Association",38735.558750000004,32
1211,Studio Bank,12843.75,1
1212,Sturgis Bank & Trust Company,16484.0,1
1213,Summit CU,30087.0,1
1214,Suncoast CU,26587.5,2
1215,Sundown State Bank,33886.726686390524,169
1216,"Sunflower Bank, National Association",58109.36992753623,138
1217,"Sunrise Banks, National Association",15168.5,24
1218,Sunwest Bank,60766.666666666664,3
1219,Surety Bank,10375.0,1
1220,Sutton Bank,9300.0,1
1221,Synergy Bank,23900.0,1
1222,Synovus Bank,46645.24466666665,15
1223,"T Bank, National Association",51921.01531365314,271
1224,"TBK Bank, SSB",43465.758653846155,52
1225,TCF National Bank,28159.877246376807,69
1226,"TD Bank, National Association",52994.05882352941,17
1227,"TIAA Bank, A Division of",12852.717692307693,13
1228,Tandem Bank,7500.0,1
1229,Technology CU,107745.0,1
1230,Tejas Bank,45390.40666666667,33
1231,Tennessee State Bank,90344.04,1
1232,Territorial Bank of American Samoa,14345.483333333332,3
1233,TexStar National Bank,42924.79838709677,248
1234,"Texan Bank, National Association",32232.46406570842,487
1235,"Texana Bank, National Association",34207.792207792205,77
1236,"Texas Advantage Community Bank, National Association",35804.91803278688,244
1237,Texas Associations of Professionals FCU,41026.29400000001,5
1238,Texas Bank,32102.868794788286,921
1239,Texas Bank Financial,34301.48706896552,58
1240,Texas Bank and Trust Company,42307.63459981598,1087
1241,Texas Brand Bank,37041.31764705882,425
1242,"Texas Capital Bank, National Association",53706.84035156242,768
1243,Texas Champion Bank,34473.728831460656,445
1244,"Texas Citizens Bank, National Association",56230.98591549296,355
1245,Texas Community Bank,39787.9,580
1246,Texas Dow Empl CU,24821.988691437804,619
1247,Texas Financial Bank,26325.640333333326,30
1248,Texas First Bank,38107.714232765014,1349
1249,"Texas Gulf Bank, National Association",49734.048257372655,373
1250,Texas Heritage Bank,38435.0077131783,258
1251,Texas Heritage National Bank,34258.089655172414,145
1252,Texas Hill Country Bank,32289.10071942446,417
1253,Texas National Bank,29109.199435783226,1347
1254,Texas National Bank of Jacksonville,30196.204886363634,352
1255,Texas Regional Bank,34993.6697626419,969
1256,"Texas Republic Bank, National Association",45407.89309210526,152
1257,Texas Security Bank,54592.4747826087,575
1258,Texas State Bank,32715.08810572687,227
1259,Texas Trust CU,29339.41791366906,139
1260,Texell CU,11383.175,40
1261,Texico State Bank,34983.6,5
1262,Texoma Community CU,21249.120281690142,71
1263,The Adirondack Trust Company,36800.0,2
1264,The American National Bank of Mount Pleasant,32171.889565217385,92
1265,The American National Bank of Texas,42986.40410958904,2190
1266,The Bancorp Bank,50165.93406593407,91
1267,The Bank,59871.75,4
1268,"The Bank & Trust, SSB",33488.43504531717,331
1269,The Bank National Association,36200.0,1
1270,The Bank of Austin,38486.245398773004,163
1271,The Bank of Beaver City,14600.0,3
1272,The Bank of Burlington,24747.0,1
1273,The Bank of Carbondale,20700.0,1
1274,The Bank of Clovis,49959.035,2
1275,The Bank of Fayette County,12174.625,2
1276,The Bank of Fincastle,9125.0,1
1277,The Bank of Kaukauna,47950.0,2
1278,The Bank of Kremlin,49900.0,1
1279,The Bank of Missouri,20460.0,5
1280,The Bank of San Antonio,48904.45344129555,494
1281,"The Bank of San Jacinto County, Coldsprings, Texas",28813.666666666668,18
1282,The Bank of Tampa,136900.0,1
1283,The Bank of the West,9850.0,2
1284,The Bennington State Bank,78750.0,2
1285,The Brady National Bank,24515.151515151516,33
1286,The Brenham National Bank,35533.123076923075,195
1287,The Bryn Mawr Trust Company,67900.0,1
1288,The Buckholts State Bank,29097.982093023267,43
1289,The Canandaigua National Bank and Trust Company,60100.0,2
1290,The Cecilian Bank,69700.0,1
1291,The Central Trust Bank,4800.0,1
1292,The Citizens Bank,43560.0,5
1293,The Citizens Bank of Clovis,24757.0,2
1294,The Citizens Bank of Edmond,24395.313333333335,6
1295,The Citizens National Bank of Hillsboro,32506.499029126207,103
1296,The Citizens National Bank of Meridian,25900.0,2
1297,The Citizens State Bank,23400.0,3
1298,The Citizens State Bank of Ouray,11250.0,1
1299,"The City National Bank and Trust Company of Lawton, Oklahoma",8266.666666666666,3
1300,The City National Bank of Sulphur Springs,34223.546139954786,443
1301,The City National Bank of Taylor,29180.76923076923,117
1302,The Colorado Bank and Trust Company of La Junta,16381.0,1
1303,The Commercial Bank,23317.64150943396,53
1304,The Commercial National Bank of Brady,26321.352,125
1305,The Community Bank,16800.0,6
1306,The Community State Bank,20800.0,1
1307,The Converse County Bank,43450.0,3
1308,The Denison State Bank,12152.5,2
1309,The Dolores State Bank,1166.67,1
1310,The Donley County State Bank,6382.888888888889,9
1311,The Eastern Colorado Bank,88427.0,1
1312,The Education CU,9262.0,9
1313,The Exchange Bank,55861.0,2
1314,The Falls City National Bank,30583.908496732027,153
