,Lender,LoanAmount,Loans
157,"Bank of Whittier, National Association",10896.153846153846,39
158,Bank of the Flint Hills,2870.0,1
159,Bank of the James,24600.0,2
160,Bank of the Panhandle,40977.77777777778,9
161,Bank of the Sierra,15172.0,1
162,Bank of the Southwest,13980.0,5
163,Bank of the West,46856.527009685204,826
164,Bank3,73788.44444444444,9
165,BankFirst,40740.0,1
166,BankFirst Financial Services,84300.0,1
167,BankFlorida,50660.100000000006,6
168,BankPlus,28720.0,5
169,"BankUnited, National Association",50841.666666666664,36
170,BankVista,16547.36842105263,19
171,Bankers Trust Company,103400.0,1
172,Bankers' Bank of Kansas,7062.5,1
173,Bankwell Bank,32326.65,4
174,Banner Bank,29700.0,1
175,Banner Capital Bank,32291.5,3
176,Banterra Bank,112665.0,2
177,Baraboo State Bank,32740.0,1
178,Barksdale FCU,18180.0,15
179,"Barrington Bank & Trust Company, National Association",114300.0,1
180,Baxter CU,8045.55,2
181,Bayer Heritage FCU,6575.21,1
182,Beach Community Bank,9627.0,1
183,Beartooth Bank,34800.0,2
184,Bell Bank,12500.0,4
185,Benchmark Bank,32665.529014598556,274
186,Benworth Capital,25327.20805194805,77
187,Berkshire Bank,68613.15823529412,17
188,Bethpage FCU,10467.3,1
189,"Beverly Bank & Trust Company, National Association",27847.0,2
190,"Big Bend Banks, National Association",22787.14285714286,28
191,Black Hills FCU,24807.0,1
192,Blue Foundry Bank,14066.25,1
193,"Blue Ridge Bank, National Association",42723.578125,64
194,Blue Sky Bank,53516.666666666664,6
195,Bodcaw Bank,11845.0,1
196,Boeing Empl CU,14375.0,2
197,Bogota Savings Bank,62530.0,1
198,Boonville Federal Savings Bank,6216.45,1
199,Border FCU,11844.294871794871,39
200,Boston Private Bank & Trust Company,83450.0,2
201,Branson Bank,10058.0,2
202,Brazos Valley Schools CU,13346.2,8
203,"Bremer Bank, National Association",65855.7,20
204,Bridgewater Bank,50925.0,4
205,Broadway National Bank,42732.99190074441,2015
206,Bruning Bank,9166.25,1
207,Bryant Bank,8974.0,1
208,Bryant State Bank,24724.666666666668,3
209,Buckeye State Bank,77022.0,3
210,Burling Bank,92529.0,1
211,Busey Bank,43125.0,9
212,"Business Bank of Texas, National Association",39369.83949238579,197
213,Byline Bank,60141.157692307694,26
214,"C3Bank, National Association",33338.395000000004,2
215,CBW Bank,42898.125555555554,9
216,CDC Small Business Finance Corporation,23099.60176,125
217,"CFBank, National Association",16000.0,1
218,CFG Community Bank,94250.985,2
219,CIBC Bank USA,81398.6794117647,17
220,CIBM Bank,68904.39,3
221,CLB The Community Bank,9355.666666666666,3
222,CNB Bank,66183.0,5
223,"CNB Bank and Trust, National Association",25762.0,1
224,"CRF Small Business Loan Company, LLC",16961.64383561644,73
225,CSE FCU,1220.0,1
226,CTBC Bank Corp. (USA).,57368.75,2
227,Cache Valley Bank,37628.35757575757,66
228,"Cadence Bank, National Association",51997.049954441914,439
229,CalPrivate Bank,43420.0,5
230,Caldwell Bank & Trust Company,9010.833333333334,3
231,Cambridge Savings Bank,12500.0,1
232,Cambridge State Bank,129575.0,1
233,Campus FCU,38210.0,1
234,Canvas CU,83140.0,1
235,"Canyon Community Bank, National Association",131720.0,1
236,CapStar Bank,74895.25,10
237,Capital Area Realtors FCU,30625.0,1
238,Capital Bank,47348.229890410956,365
239,Capital Bank of Texas,29599.571428571428,14
240,Capital CU,84600.0,1
241,Capital City Bank,26110.0,1
242,Capital Community Bank,79275.72285714287,7
243,Capital Educators FCU,91366.85,1
244,"Capital Farm Credit, ACA",23658.056704545448,88
245,"Capital One, National Association",31240.658569682153,1636
246,Capitol CU,48741.666666666664,3
247,Capitol Federal Savings Bank,20100.0,1
248,Capitol National Bank,35800.0,2
249,Caprock FCU,15285.925000000001,6
250,"Captex Bank, National Association",32075.834710743802,121
251,Carmine State Bank,29138.46153846154,39
252,Carolina Bank & Trust Co.,31100.0,2
253,Carrollton Bank,87989.75,2
254,Carson Community Bank,43100.0,1
255,Carter FCU,23585.473684210527,95
256,Cass Commercial Bank,82650.0,2
257,Castroville State Bank,29363.60811594203,69
258,Cathay Bank,43292.18421052631,38
259,Cedar Rapids Bank and Trust Company,107700.0,1
260,Celtic Bank Corporation,14120.775947946575,12833
261,Cen-Tex CDC,50815.375,16
262,"Cendera Bank, National Association",38467.16129032258,31
263,Centennial Bank,53702.56854838712,186
264,Centera Bank,11000.0,1
265,"Centerstone SBA Lending, Inc.",62812.5,24
266,Centier Bank,50546.4,5
267,Centinel Bank of Taos,134600.0,1
268,Centra CU,13230.0,1
269,Central Bank,47276.497303921584,204
270,Central Bank & Trust Co.,48250.0,2
271,Central Bank of Boone County,31475.0,4
272,Central Bank of Branson,20000.0,1
273,Central Bank of Lake of the Ozarks,1700.0,1
274,Central Bank of Oklahoma,51550.0,4
275,Central Bank of St. Louis,68423.56363636363,22
276,Central Bank of the Midwest,10200.0,1
277,Central Minnesota CU,12833.333333333334,3
278,Central National Bank,37622.129026315786,380
279,Central Pacific Bank,27674.96153846154,13
280,Central State Bank,20800.0,1
281,"Central Texas Farm Credit, ACA",47171.04666666667,3
282,Centric Bank,20833.0,1
283,Century Bank,41730.11,4
284,Century Bank of the Ozarks,15300.0,1
285,Century Next Bank,9981.063333333334,3
286,Chaffey FCU,22100.0,1
287,"Chain Bridge Bank, National Association",30589.0,3
288,Chambers Bank,27076.24,1
289,Chappell Hill Bank,70214.77,1
290,Charter Bank,37978.937676767695,198
291,CharterWest Bank,49177.5,2
292,Chartway FCU,33574.05857142857,14
293,Chemung Canal Trust Company,60000.0,1
294,Chickasaw Community Bank,21481.794,10
295,Chisholm Trail State Bank,13000.0,1
296,Choice Financial Group,21900.0,6
297,Ciera Bank,39991.12205882355,272
298,"Citibank, N.A.",47081.53846153846,65
299,Citizens 1st Bank,29876.43536231884,69
300,Citizens Alliance Bank,4100.0,1
301,Citizens Bank,35292.32059149723,541
302,Citizens Bank & Trust,48290.0,2
303,"Citizens Bank & Trust Company of Vivian, Louisiana, Inc.",28099.0,5
304,Citizens Bank and Trust Company of Ardmore,25532.411818181816,11
305,Citizens Bank of Ada,40470.833333333336,12
306,Citizens Bank of Chatsworth,57152.5,2
307,"Citizens Bank of Kentucky, Inc.",117560.0,1
308,Citizens Bank of Las Cruces,37676.15198412698,126
309,Citizens Bank of Rogersville,23854.59,3
